【結合テスト仕様書 - UC007【社員情報更新新】】

テストID	テスト項目	アクション	入力値	期待結果	備考
CT-001	社員情報更新_正常系フロー	1.社員一覧画面で「更新」ボタン(submit)をクリック	対象社員を選択	P012【社員更新入力画面】に既存情報が表示される	既存情報：名前、部門、メール等
CT-001-2	社員情報更新_正常系フロー	2.社員情報を編集する	名前「田中」→「山田」に変更	画面に入力内容が反映される	編集可能な状態を確認
CT-001-3	社員情報更新_正常系フロー	3.「確認」ボタン(submit)をクリック	編集後の情報	P013【社員更新確認画面】に入力内容が表示される	全ての入力内容が正確に表示
CT-001-4	社員情報更新_正常系フロー	4.「更新」ボタン(submit)をクリック	確認済み更新情報	P014【社員更新完了画面】が表示される	更新完了メッセージを確認
CT-002	代替フロー_入力誤り	P013画面で「再入力」ボタン(link)をクリック	確認画面の内容	P012【社員更新入力画面】に戻る	前回入力内容が保持されている
CT-003	バリデーション_必須チェック	名前を空欄のまま「確認」ボタン(submit)をクリック	名前：未入力	エラーメッセージ表示、画面遷移なし	「名前は下ルールで入力してください」
CT-004	バリデーション_文字数チェック	名前に100字以上を入力して「確認」ボタン(submit)をクリック	名前：100字超	エラーメッセージ表示、画面遷移なし	「名前は100字以内で入力してください」
CT-005	バリデーション_電話番号フォーマット	電話番号を不正な形式で入力して「確認」ボタン(submit)をクリック	電話番号：不正形式	エラーメッセージ表示、画面遷移なし	正規フォーマット：xxxx yyyy zzzz
CT-006	バリデーション_メールアドレス形式	メールアドレスを不正な形式で入力して「確認」ボタン(submit)をクリック	メール：xxxx@yyyy（不正）	エラーメッセージ表示、画面遷移なし	正規フォーマット：xxxx@yyyy
CT-007	データ連携_DB取得	P002で「更新」ボタン(submit)をクリック	対象社員ID	P012に既存情報が正確に表示される	名前、部門、メール等全データ確認
CT-008	データ連携_画面間遷移	P012で「確認」ボタン(submit)をクリック	編集後の情報	P013に編集内容が全て正確に表示される	データが欠落していないか確認
CT-009	データ連携_DB更新	P013で「更新」ボタン(submit)をクリック	更新実行	P014表示、DBに新情報が記載される	実データベースで更新内容を検証
CT-010	システムエラー_DB接続失敗	DB接続エラー時に「確認」ボタン(submit)をクリック	-	P099【システムエラー画面】が表示される	エラーメッセージを確認
CT-011	submit正確性検証	「確認」ボタン(submit)をクリック時のHTTPリクエストを監視	入力データ	HTTPメソッド：POST、全入力データがボディに含まれる	開発者ツール(F12)で確認
